,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
1,"((0.0, 1.0), (0.0, 1.0), (0.1, 0.9))",[0.1 0.9],0.13333333333333333,[0. 1.],0.06666666666666665,[0.033 0.967]
2,"((0.0, 1.0), (0.0, 1.0), (0.2, 0.8))",[0.2 0.8],0.26666666666666655,[0. 1.],0.13333333333333341,[0.067 0.933]
3,"((0.0, 1.0), (0.0, 1.0), (0.3, 0.7))",[0.3 0.7],0.4000000000000001,[0. 1.],0.19999999999999996,[0.1 0.9]
4,"((0.0, 1.0), (0.0, 1.0), (0.4, 0.6))",[0.333 0.667],0.3999999975164732,[0. 1.],0.2666666666666666,[0.133 0.867]
11,"((0.0, 1.0), (0.1, 0.9), (0.0, 1.0))",[0.1 0.9],0.13333333333333333,[0. 1.],0.06666666666666665,[0.033 0.967]
13,"((0.0, 1.0), (0.1, 0.9), (0.2, 0.8))",[0.2 0.8],0.19999999999999996,[0.1 0.9],1.3877787807814457e-17,[0.1 0.9]
14,"((0.0, 1.0), (0.1, 0.9), (0.3, 0.7))",[0.3 0.7],0.33333333333333326,[0.1 0.9],0.06666666666666676,[0.133 0.867]
15,"((0.0, 1.0), (0.1, 0.9), (0.4, 0.6))",[0.333 0.667],0.33333333084980654,[0.1 0.9],0.1333333333333333,[0.167 0.833]
16,"((0.0, 1.0), (0.1, 0.9), (0.5, 0.5))",[0.333 0.667],0.2666666641831398,[0.1 0.9],0.20000000000000007,[0.2 0.8]
22,"((0.0, 1.0), (0.2, 0.8), (0.0, 1.0))",[0.2 0.8],0.26666666666666655,[0. 1.],0.13333333333333341,[0.067 0.933]
23,"((0.0, 1.0), (0.2, 0.8), (0.1, 0.9))",[0.2 0.8],0.19999999999999996,[0.1 0.9],1.3877787807814457e-17,[0.1 0.9]
25,"((0.0, 1.0), (0.2, 0.8), (0.3, 0.7))",[0.3 0.7],0.2666666666666667,[0.2 0.8],0.06666666666666668,[0.167 0.833]
26,"((0.0, 1.0), (0.2, 0.8), (0.4, 0.6))",[0.333 0.667],0.26666666418313967,[0.2 0.8],1.3877787807814457e-16,[0.2 0.8]
27,"((0.0, 1.0), (0.2, 0.8), (0.5, 0.5))",[0.333 0.667],0.1999999975164731,[0.2 0.8],0.06666666666666674,[0.233 0.767]
33,"((0.0, 1.0), (0.3, 0.7), (0.0, 1.0))",[0.3 0.7],0.4000000000000001,[0. 1.],0.19999999999999996,[0.1 0.9]
34,"((0.0, 1.0), (0.3, 0.7), (0.1, 0.9))",[0.3 0.7],0.33333333333333337,[0.1 0.9],0.06666666666666665,[0.133 0.867]
35,"((0.0, 1.0), (0.3, 0.7), (0.2, 0.8))",[0.3 0.7],0.2666666666666667,[0.2 0.8],0.06666666666666668,[0.167 0.833]
37,"((0.0, 1.0), (0.3, 0.7), (0.4, 0.6))",[0.333 0.667],0.1999999975164731,[0.3 0.7],0.13333333333333333,[0.233 0.767]
38,"((0.0, 1.0), (0.3, 0.7), (0.5, 0.5))",[0.333 0.667],0.13333333084980653,[0.3 0.7],0.06666666666666676,[0.267 0.733]
39,"((0.0, 1.0), (0.3, 0.7), (0.6, 0.4))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
44,"((0.0, 1.0), (0.4, 0.6), (0.0, 1.0))",[0.333 0.667],0.3999999975164732,[0. 1.],0.2666666666666666,[0.133 0.867]
